 yr,transp_yr,evap_yr,runoff_yr,water_leach_yr,swater_slw_yr,swater_slw_gs,    waterF1,waterF2,waterF3,waterF4,waterF5,waterF6,waterF7,waterF8,waterF9,waterF10
    2007,  23.5726356506, 163.5712127686,   4.4014968872,   0.0000000000,   0.1093850583,   0.1099714860,  21.9992847443,  15.3983030319,   7.9094405174,   5.8730516434,   4.6817088127,   1.4870654345,   2.8282237053,   1.4564567804,   0.0367194563,***************
    2008,  32.5710563660, 194.4202117920,  31.2325191498,   0.0000000000,   0.1538521647,   0.1548836380,  36.8676795959,  36.1278114319,  32.6595611572,  27.6582756042,  18.8348064423,   1.0072610378,   0.8176299930,   0.5733677745,   0.0359860249,***************
    2009,  33.4406356812, 187.7453918457,  16.2084846497,   0.0000000000,   0.1543592364,   0.1374537945,  48.6164817810,  38.9166755676,  28.1444091797,  22.0846748352,  17.5421562195,   7.9879584312,   4.3827052116,   0.4667027295,   0.0130265811,***************
    2010,  64.8542098999, 159.1009979248,   9.6929845810,   0.0000000000,   0.1684038937,   0.1503336132,  30.4866065979,  31.0638160706,  33.5850219727,  39.0036849976,  40.1194267273,  24.5022487640,  19.9585533142,   7.1547770500,   0.2075437605,***************
    2011,  15.0092754364, 101.3473052979,   6.5155057907,   0.0000000000,   0.0908445939,   0.0795984641,  19.2849597931,   7.7023220062,   4.2171444893,   5.1583099365,   4.7908358574,  -0.1656059623,   1.5595344305,   2.1994867325,   0.5830010176,***************
    2012,  34.6189956665, 157.7921600342,   5.4654664993,   0.0000000000,   0.1295375824,   0.1221385375,  20.5190410614,  23.3163013458,  21.6360130310,  18.5585460663,  13.2973403931,   0.4883901477,   0.5245538354,   0.6024742126,   0.3249061108,***************
    2013,  27.0073890686, 209.2599182129,  32.1874465942,   0.0000000000,   0.1451237798,   0.1517823637,  40.5419731140,  33.1690101624,  25.5108737946,  20.6061363220,  13.9431638718,   0.5298888683,   0.2767896950,   0.1321739703,   0.0748520195,***************
    2014,  24.3085765839, 193.8710479736,  16.7479667664,   0.0000000000,   0.1464596689,   0.1428244859,  34.6859321594,  31.5641422272,  27.8128395081,  26.0389881134,  23.0955104828,   8.6978330612,   3.0897274017,   0.1315214485,   0.0209935661,***************
    2015,  54.7418556213, 198.5813446045,  21.5670986176,   0.0000000000,   0.1708178222,   0.1334325373,  54.2876052856,  42.7981185913,  30.3808250427,  24.5870761871,  21.0708465576,  13.3816480637,  11.6680612564,   2.4135034084,   0.0230850000,***************
    2016,  39.0575637817, 153.4860229492,   9.2160110474,   0.0000000000,   0.1632079333,   0.1277741790,  34.8476753235,  33.6078453064,  34.9557495117,  38.4617996216,  37.7133941650,  19.8400802612,  15.5734100342,   6.8669166565,   0.3662204444,***************
    2017,  75.8803482056, 194.9465179443,  22.7268295288,   0.0000000000,   0.1716200113,   0.1616102010,  48.6153717041,  46.6655387878,  40.0704689026,  35.9086799622,  27.2269115448,  10.1508998871,   8.5188989639,   4.3455858231,   1.0872468948,***************
    2018,  29.6461811066, 201.6055297852,  15.3156347275,   0.0000000000,   0.1494716704,   0.1398781687,  40.1002807617,  32.9162368774,  26.8660640717,  23.3634796143,  17.9164581299,   1.3683204651,   1.4195050001,   0.8547855020,   0.2187118977,***************
    2019,  53.7962188721, 180.9644165039,  13.0361928940,   0.0000000000,   0.1635913998,   0.1292587370,  46.7552909851,  34.6408462524,  23.3472118378,  22.2913703918,  22.9402046204,  10.5318746567,   6.3768434525,   0.8229867220,   0.0689486340,***************
    2020,  35.8979835510, 129.2720947266,   5.8223810196,   0.0000000000,   0.1346191466,   0.0985610783,  20.5563659668,  23.3748607635,  29.3018512726,  31.8165092468,  27.6252803802,   8.9178848267,   5.5444145203,   1.0374108553,   0.0206527561,***************
